radio,mcc,net,area,cell,unit,lon,lat,range,samples,changeable,created,updated,averageSignal
GSM,452,2,409,9713,0,106.3213,10.3929,4405,33,1,1239054437,1698132917,0
GSM,452,2,409,9671,0,106.3255,10.3782,2636,88,1,1239034638,1698132919,0
GSM,452,2,409,9853,0,106.3294,10.3792,1479,55,1,1239034637,1698132919,0
GSM,452,2,409,9091,0,106.3083,10.3917,2539,52,1,1239054437,1698132915,0
GSM,452,2,409,9672,0,106.3264,10.3627,1000,40,1,1239034638,1698132920,0
GSM,452,4,31150,12317,0,109.2217,12.2464,15386,6,1,1369161119,1698132216,0
GSM,452,2,405,5442,0,106.5528,10.6802,2743,20,1,1370840552,1698132950,0
GSM,452,2,405,5548,0,106.5357,10.673,4819,120,1,1370840672,1698132950,0
GSM,452,4,20258,2484,0,107.2113,10.8458,3890,145,1,1376016482,1698132858,0
GSM,452,4,11207,60031,0,105.8421,20.9651,1000,10,1,1389704589,1701265515,0
GSM,452,4,11207,9223,0,105.842,20.9632,1000,10,1,1389704649,1701265515,0
GSM,452,5,243,43171,0,108.4346,11.9378,1034,40,1,1392984902,1698132407,0
GSM,452,5,243,43085,0,108.4222,11.9078,2941,33,1,1392992111,1698132402,0
GSM,452,4,20431,1183,0,107.411,10.8971,4385,134,1,1406222189,1698132767,0
GSM,452,4,20431,1251,0,107.6161,10.8601,11575,78,1,1406223280,1698133088,0
GSM,452,4,20431,2996,0,107.3104,10.8795,12695,18,1,1406243059,1698132792,0
GSM,452,4,20431,1196,0,107.3983,10.894,3959,35,1,1406243428,1698132772,0
GSM,452,4,20431,1181,0,107.4606,10.8891,3686,67,1,1406243798,1698132758,0
GSM,452,4,20431,3002,0,107.4417,10.8887,3557,6,1,1406243798,1698132758,0
GSM,452,4,20431,3003,0,107.4477,10.8941,3832,96,1,1406243798,1698132760,0
GSM,452,4,20431,1253,0,107.494,10.8798,5400,159,1,1406203370,1698133075,0
GSM,452,4,20431,9723,0,107.5315,10.8673,5897,80,1,1406244045,1698133078,0
GSM,452,4,20431,1134,0,107.596,10.8599,7280,52,1,1406244413,1698133081,0
GSM,452,4,31280,34416,0,109.1926,11.9718,2316,200,1,1406249301,1698132755,0
GSM,452,4,31280,12141,0,109.1964,12.058,4587,16,1,1406230051,1698133215,0
GSM,452,4,31280,14122,0,109.1864,11.955,3954,160,1,1406229493,1698132755,0
GSM,452,4,31280,13522,0,109.2123,12.0121,1571,200,1,1406255265,1698133273,0
GSM,452,4,31280,12152,0,109.2104,11.9953,5143,28,1,1406255265,1698132476,0
GSM,452,4,31280,12142,0,109.2106,11.9979,1928,35,1,1406255265,1698132756,0
GSM,452,4,31283,12058,0,109.2265,12.162,6053,40,1,1407798333,1698133262,0
GSM,452,4,20170,46446,0,106.6881,10.7598,1089,73,1,1418082092,1698132409,0
GSM,452,4,20170,12963,0,106.6898,10.7619,1000,74,1,1418082120,1698132409,0
GSM,452,4,20170,12962,0,106.6918,10.7616,1000,56,1,1418082170,1698132409,0
GSM,452,4,20507,41272,0,106.71,10.7484,3045,16,1,1418294045,1698133008,0
GSM,452,4,20373,43031,0,106.6288,10.8062,1194,40,1,1418310282,1738231867,0
GSM,452,4,20166,12953,0,106.6773,10.7595,1000,40,1,1418341195,1698132409,0
GSM,452,4,20475,45101,0,106.6167,10.8012,800,29,1,1418345684,1738231867,0
GSM,452,4,20373,8783,0,106.6214,10.7963,541,33,1,1418346045,1738231868,0
GSM,452,4,20373,8782,0,106.6228,10.7942,1000,18,1,1418346094,1738231868,0
GSM,452,4,20170,46444,0,106.6901,10.7608,1000,22,1,1418348505,1698132953,0
GSM,452,4,20522,16847,0,106.6849,10.7572,1000,51,1,1418348545,1698132409,0
GSM,452,4,20166,42621,0,106.6819,10.7596,1000,37,1,1418360227,1698132904,0
GSM,452,4,20170,678,0,106.6815,10.7608,1000,25,1,1418360280,1698132409,0
GSM,452,4,20166,42643,0,106.6693,10.7577,1000,33,1,1418377927,1698132408,0
GSM,452,4,20166,6894,0,106.6767,10.7583,1000,34,1,1418378107,1698132409,0
GSM,452,4,20371,45551,0,106.6219,10.7941,882,38,1,1418382539,1738231868,0
GSM,452,4,20170,46445,0,106.6901,10.7573,1000,14,1,1418445218,1698132409,0
GSM,452,4,20507,13139,0,106.6998,10.7592,1000,45,1,1418452130,1698132409,0
GSM,452,4,20453,10871,0,106.7803,10.7858,2329,47,1,1418519504,1698133016,0
GSM,452,4,20521,6954,0,106.692,10.7827,500,49,1,1418522235,1735808514,0
GSM,452,4,20373,9736,0,106.6202,10.8049,1000,13,1,1418561893,1738231867,0
GSM,452,4,20521,41812,0,106.6935,10.7658,1000,14,1,1418688046,1698132954,0
GSM,452,4,20353,55958,0,106.7449,10.8426,2165,22,1,1418690386,1738381150,0
GSM,452,4,20761,2641,0,106.9676,10.7724,2023,10,1,1418720825,1698133034,0
GSM,452,4,20255,2503,0,107.0138,10.787,2234,37,1,1418701786,1698132451,0
GSM,452,4,20255,2502,0,107.035,10.793,4752,192,1,1418721636,1698133046,0
